DN,DST,YD_LN,R/P,GAIN,PASS_RESULT,SER_END
,,,,,,
1,10,-30,R,3,,
2,7,-33,P,10,C,
1,10,-43,R,-2,,
2,12,-41,P,7,,PUNT
,,,,,,
1,10,-28,R,0,,
2,10,-28,P,13,C,
1,10,-41,P,5,C,
2,5,-46,P,0,I,PUNT
,,,,,,
1,10,-30,N,-5,,
1,15,-25,R,5,,
1,25,-15,N,-5,,
1,30,-10,P,16,C,
2,14,-26,P,-7,S,SAFETY
,,,,,,
1,10,-35,P,0,I,
2,10,-35,P,20,C,
1,10,55,R,-2,,
2,12,-53,P,0,I,PUNT
,,,,,,
1,10,-32,P,7,C,
2,3,-39,P,11,C,
1,10,-50,P,9,C,
2,1,51,R,3,,
1,10,48,R,7,,
2,3,41,R,6,,
1,10,35,P,0,I,
2,10,35,P,0,I,FG
,,,,,,
1,10,-35,R,4,,
2,6,-39,P,0,I,PUNT
,,,,,,
1,10,-25,P,9,C,
2,1,-34,R,1,,
1,10,-35,P,7,C,
2,3,-42,P,19,C,
1,10,49,P,0,I,
2,10,49,P,23,C,
1,10,26,P,6,C,
2,4,20,P,6,C,
1,10,14,P,0,I,
2,10,14,P,14,C,TD
,,,,,,
,,,,,,
1,10,-12,R,4,,
2,6,-16,P,-7,S,SAFETY
,,,,,,
1,10,-35,P,0,I,
2,10,-35,P,9,C,PUNT
,,,,,,
1,10,-42,R,3,C,
2,7,-45,N,,,
2,12,-40,P,-5,S,PUNT
,,,,,,
1,10,-31,R,1,,
2,9,-32,R,9,,
1,10,-41,R,5,,
2,5,-46,P,0,I,
1,10,49,P,8,C,
2,2,41,P,0,I,PUNT
,,,,,,
1,10,-14,R,3,,
2,7,-17,P,8,C,
1,10,-25,P,4,C,
2,6,-29,P,0,I,PUNT
,,,,,,
1,10,-8,P,9,C,
2,1,-17,R,2,,
1,10,-19,R,4,,
2,6,-23,P,0,I,PUNT
,,,,,,
1,10,40,P,0,I,
2,10,40,P,20,C,
1,10,20,P,0,I,
2,10,20,P,0,I,FG
,,,,,,
1,10,-35,N,-1,,
2,11,-34,N,-1,,HALF
,,,,,,
1,10,-31,R,11,,
1,10,-42,P,23,C,
1,10,45,R,0,,
2,10,45,P,0,I,PUNT
,,,,,,
1,10,-16,P,6,C,
2,4,-22,P,0,IN,INT
1,10,42,R,2,,
2,8,40,P,0,I,PUNT
,,,,,,
1,10,-5,R,13,,
1,10,-18,R,5,,
2,5,-23,P,0,I,PUNT
,,,,,,
1,10,-45,R,6,,
2,4,-51,P,3,C,
3,1,-54,R,2,,
1,10,54,P,5,C,
2,5,49,P,-5,S,PUNT
,,,,,,
1,10,-36,P,8,C,
2,2,-44,R,4,,
1,10,-48,R,5,,
2,5,-53,P,0,I,PUNT
,,,,,,
1,10,-21,N,,,
1,15,-16,P,0,I,
2,15,-16,P,10,C,PUNT
,,,,,,
1,10,-25,P,8,C,
2,2,-33,R,3,,
1,10,-36,P,14,C,
1,10,-50,R,4,C,TD
,,,,,,
,,,,,,
1,10,-31,R,-1,,
2,11,-30,P,9,C,PUNT
,,,,,,
1,10,-36,P,8,C,
2,2,-44,R,5,,
1,10,-49,P,0,I,
2,10,-49,P,0,I,PUNT
,,,,,,
1,10,-31,P,9,C,
2,1,-40,R,0,,
3,1,-40,N,5,,
1,10,-45,P,64,C,
1,1,1,N,-10,,
1,11,11,P,0,IN,INT
1,10,-20,R,3,,
2,7,-23,P,12,C,
1,10,-35,R,-5,,
2,15,-30,P,3,C,PUNT
,,,,,,
1,10,-33,P,17,C,
1,10,-50,R,4,C,
2,6,-54,P,0,I,PUNT
,,,,,,
1,10,-14,P,0,I,
2,10,-14,P,25,C,
1,10,-9,P,,IN,INT
1,10,22,P,7,R,
2,3,15,R,2,,FG
,,,,,,
,,,,,,
1,10,36,P,0,I,
2,10,36,P,-7,S,FG
,,,,,,
,,,,,,
1,10,-20,P,55,C,
1,15,-15,R,17,,
1,10,-32,P,6,C,
2,4,-38,P,0,I,PUNT
,,,,,,
1,10,-50,P,6,,
2,4,54,P,8,C,
1,10,46,P,0,I,
2,10,46,P,-7,S,PUNT
,,,,,,
1,10,-52,P,-3,S,GAME
1,10,35,P,3,,
2,7,32,P,7,C,
1,10,25,P,16,C,
1,9,9,P,0,I,
1,5,5,P,0,I,
2,5,5,P,-5,S,
3,10,10,P,0,I,DOWNS
1,10,35,R,28,,
1,7,7,R,0,,
2,7,7,R,2,,FG
,,,,,,GAME
